Date : 2024-04-19 12:11:17
Directory : d:\CP\GameProject\Game
Total : 115 files,  29672 codes, 27445 comments, 4776 blanks, all 61893 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| d:\CP\GameProject\Game\include\SDL2\SDL_types.h                 | C++      |          1 |         26 |          3 |         30 |
| d:\CP\GameProject\Game\include\SDL2\SDL_version.h               | C++      |         40 |        147 |         18 |        205 |
| d:\CP\GameProject\Game\include\SDL2\SDL_video.h                 | C++      |        316 |      1,739 |        130 |      2,185 |
| d:\CP\GameProject\Game\include\SDL2\SDL_vulkan.h                | C++      |         39 |        157 |         20 |        216 |
| d:\CP\GameProject\Game\include\SDL2\begin_code.h                | C++      |        138 |         38 |         14 |        190 |
| d:\CP\GameProject\Game\include\SDL2\close_code.h                | C++      |         10 |         27 |          4 |         41 |
| d:\CP\GameProject\Game\include\headers\AudioManager.h           | C++      |         24 |          0 |          7 |         31 |
| d:\CP\GameProject\Game\include\headers\Coin.h                   | C++      |         14 |          0 |          5 |         19 |
| d:\CP\GameProject\Game\include\headers\PipeLink.h               | C++      |         20 |          0 |          3 |         23 |
| d:\CP\GameProject\Game\include\headers\Timer.h                  | C++      |         25 |          0 |          6 |         31 |
| d:\CP\GameProject\Game\include\headers\background.h             | C++      |         40 |          0 |          6 |         46 |
| d:\CP\GameProject\Game\include\headers\button.h                 | C++      |         45 |          1 |          4 |         50 |
| d:\CP\GameProject\Game\include\headers\commonFunc.h             | C++      |        131 |          0 |         13 |        144 |
| d:\CP\GameProject\Game\include\headers\defs.h                   | C++      |         31 |          0 |          8 |         39 |
| d:\CP\GameProject\Game\include\headers\entity.h                 | C++      |         20 |          0 |          4 |         24 |
| d:\CP\GameProject\Game\include\headers\game.h                   | C++      |         38 |          1 |          4 |         43 |
| d:\CP\GameProject\Game\include\headers\ground.h                 | C++      |         25 |          0 |          7 |         32 |
| d:\CP\GameProject\Game\include\headers\pipe.h                   | C++      |         19 |          0 |          5 |         24 |
| d:\CP\GameProject\Game\include\headers\player.h                 | C++      |         35 |          0 |          4 |         39 |
| d:\CP\GameProject\Game\include\headers\sfx.h                    | C++      |         55 |          0 |          6 |         61 |
| d:\CP\GameProject\Game\include\headers\textureManager.h         | C++      |         64 |          0 |         14 |         78 |
| d:\CP\GameProject\Game\include\headers\vector.h                 | C++      |         15 |          0 |          5 |         20 |
| d:\CP\GameProject\Game\include\headers\window.h                 | C++      |         22 |          0 |          5 |         27 |
| d:\CP\GameProject\Game\makefile                                 | Makefile |          2 |          0 |          0 |          2 |
| d:\CP\GameProject\Game\src\AudioManager.cpp                     | C++      |        107 |          0 |          9 |        116 |
| d:\CP\GameProject\Game\src\Coin.cpp                             | C++      |         21 |          0 |          3 |         24 |
| d:\CP\GameProject\Game\src\PipeLink.cpp                         | C++      |        127 |          0 |          7 |        134 |
| d:\CP\GameProject\Game\src\Sfx.cpp                              | C++      |        138 |          1 |         21 |        160 |
| d:\CP\GameProject\Game\src\Timer.cpp                            | C++      |         63 |          0 |          8 |         71 |
| d:\CP\GameProject\Game\src\background.cpp                       | C++      |        108 |          0 |         19 |        127 |
| d:\CP\GameProject\Game\src\button.cpp                           | C++      |         89 |          0 |          6 |         95 |
| d:\CP\GameProject\Game\src\entity.cpp                           | C++      |         33 |          0 |          8 |         41 |
| d:\CP\GameProject\Game\src\game.cpp                             | C++      |        252 |          0 |         11 |        263 |
| d:\CP\GameProject\Game\src\ground.cpp                           | C++      |         42 |          0 |          7 |         49 |
| d:\CP\GameProject\Game\src\main.cpp                             | C++      |         29 |          7 |          7 |         43 |
| d:\CP\GameProject\Game\src\pipe.cpp                             | C++      |         35 |          0 |          6 |         41 |
| d:\CP\GameProject\Game\src\player.cpp                           | C++      |        116 |          0 |         19 |        135 |
| d:\CP\GameProject\Game\src\textureManager.cpp                   | C++      |        175 |          0 |         31 |        206 |
| d:\CP\GameProject\Game\src\vector.cpp                           | C++      |         27 |          0 |          7 |         34 |
| d:\CP\GameProject\Game\src\window.cpp                           | C++      |        144 |          0 |         30 |        174 |
| Total                                                           |          |     29,672 |     27,445 |      4,776 |     61,893 |
+-----------------------------------------------------------------+----------+------------+------------+------------+------------+
